room_id,price_info_str,room_size,maintenance_cost_str,room_floor_str,room_options,direction_str,building_approval_date_str,safeties
612ca035ba40337c2c6b1f60,"[['300', '30']]",13.22,4만 원,2층,"['옷장', '신발장', '가스레인지']",서,2010.09.14,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
5fc20492e736d1626671ab04,"[['300', '30']]",16.5,4만 원,반지층,"['책상', '옷장', '인덕션', '전자레인지', '전자도어락']",동,2016.10.27,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60e0193416779f7247ce057c,"[['2000', '30']]",16.52,4만 원,4층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",서,2011.02.01,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
614bd951f09ad356faca8882,"[['300', '28']]",13.2,4만 원,반지층,"['책상', '옷장', '신발장', '인덕션']",동,2016.04.30,
60e65e92121e4f50d42e6416,"[['300', '30']]",16.5,5만 원,2층,"['신발장', '인덕션']",동,2015.02.25,
6129b1c19bf0605d04f40370,"[['1000', '40']]",19.83,3만 원,2층,[],서,2013.10.28,
6142b6ef7808be5cce83e34e,"[['3000', '20']]",16.52,4만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2017.02.17,
5fc203a4fe73776d4e20de69,"[['500', '35']]",16.52,4만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2017.09.18,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60cfd850d5eccd40ec50de59,"[['1000', '38']]",16.52,4만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2017.08.08,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
60d4010c3fba464b54304f69,"[['2000', '50']]",33.05,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2013.06.26,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
